Año,PIB,FBKF,GID,AB,FL
2020,30149538.69,7101021.751,16476721.79,4199830.739,2374216.297
2021,31048809.53,7144913.62,17102810.04,4384091.906,2398152.876
2022,31906811.06,7433623.777,18107522.08,4607343.518,2423466.713
2023,32779486.5,7694031.498,18344359.63,4746469.645,2460331.207
2024,33659935.53,7952547.864,18872772.17,4941278.536,2499351.639
2025,34584525.99,8268351.797,19490547.18,5063174.605,2517826.713
2026,35462141.47,8555315.293,20190660.44,5127825.657,2533147.854
2027,36324942.64,8880538.858,20768553.21,5219894.258,2557364.566
2028,37178665.89,9195768.463,21322716.28,5394624.421,2589604.262
2029,38062241.75,9508459.997,21857407.62,5560893.52,2617666.269
